model_name,use_smc,lmbda,resample_freq,num_particles,seed,div_score,ave_score,bon_score,job,potential_type
SDXL-base,True,10.0,20,2,43,0.0,0.5678720717816462,0.6163910380399743,20241224-164719,max
SDXL-base,True,10.0,20,2,43,0.0,0.5678720717816462,0.6163910380399743,20241221-142832,max
SDXL-base,True,10.0,20,2,43,0.0,0.5678720717816462,0.6163910380399743,20241226-175528,max
SDXL-base,True,10.0,20,2,42,0.0,0.5638800684146429,0.6168715524034674,20241224-124611,max
SDXL-base,True,10.0,20,2,42,0.0,0.5638800684146429,0.6168715524034674,20241221-100703,max
SDXL-base,True,10.0,20,2,42,0.0,0.5638800684146429,0.6168715524034674,20241226-134916,max
SDXL-base,True,10.0,20,2,42,0.0,0.5638800684146429,0.6168715524034674,20241219-014610,max
SDXL-base,True,10.0,20,2,44,0.0,0.5623180385414428,0.5944017300666237,20241224-204753,max
SDXL-base,True,10.0,20,2,44,0.0,0.5623180385414428,0.5944017300666237,20241226-220119,max
SDXL-base,True,10.0,20,2,44,0.0,0.5623180385414428,0.5944017300666237,20241219-093224,max
SDXL-base,True,10.0,20,2,44,0.0,0.5623180385414428,0.5944017300666237,20241221-185252,max
SDv2.1,True,10.0,20,2,43,0.0,0.5199578676839315,0.5723345153664302,20241226-115706,max
SDv2.1,True,10.0,20,2,43,0.0,0.5199578676839315,0.5723345153664302,20241218-230017,max
SDv2.1,True,10.0,20,2,44,0.0,0.5146435991116842,0.5684701626190988,20241219-003817,max
SDv2.1,True,10.0,20,2,44,0.0,0.5146435991116842,0.5684701626190988,20241226-134810,max
SDv2.1,True,10.0,20,2,44,0.0,0.5146435991116842,0.5684701626190988,20241224-162446,max
SDv2.1,True,10.0,20,2,44,0.0,0.5146435991116842,0.5684701626190988,20241221-062901,max
SDv2.1,True,10.0,20,2,44,0.0,0.5146435991116842,0.5684701626190988,20241219-004242,max
SDv2.1,True,10.0,20,2,42,0.0,0.50154210545168,0.5525384160756501,20241221-025147,max
SDv2.1,True,10.0,20,2,42,0.0,0.50154210545168,0.5525384160756501,20241224-124533,max
SDv2.1,True,10.0,20,2,42,0.0,0.50154210545168,0.5525384160756501,20241226-100503,max
SDv2.1,True,10.0,20,2,42,0.0,0.50154210545168,0.5525384160756501,20241218-212709,max
SDv2.1,True,10.0,20,2,42,0.0,0.50154210545168,0.5525384160756501,20241218-212603,max
SDv1.5,True,10.0,20,2,42,0.0,0.4564725714592736,0.4929179203381331,20241219-004018,max
SDv1.5,True,10.0,20,2,42,0.0,0.4564725714592736,0.4929179203381331,20241221-064407,max
SDv1.4,True,10.0,20,2,44,0.0,0.45119958449745684,0.49342601547388787,20241224-150829,max
SDv1.4,True,10.0,20,2,44,0.0,0.45119958449745684,0.49342601547388787,20241221-154302,max
SDv1.4,True,10.0,20,2,44,0.0,0.45119958449745684,0.49342601547388787,20241226-184519,max
SDv1.4,True,10.0,20,2,44,0.0,0.45119958449745684,0.49342601547388787,20241219-075422,max
SDv1.5,True,10.0,20,2,44,0.0,0.44830105129307257,0.5034543126298446,20241226-144656,max
SDv1.5,True,10.0,20,2,44,0.0,0.44830105129307257,0.5034543126298446,20241219-021437,max
SDv1.5,True,10.0,20,2,44,0.0,0.44830105129307257,0.5034543126298446,20241221-085752,max
SDv1.4,True,10.0,20,2,42,0.0,0.44267734973851997,0.508138656064188,20241221-133415,max
SDv1.4,True,10.0,20,2,42,0.0,0.44267734973851997,0.508138656064188,20241226-163808,max
SDv1.4,True,10.0,20,2,42,0.0,0.44267734973851997,0.508138656064188,20241224-124645,max
SDv1.4,True,10.0,20,2,43,0.0,0.4426396948205458,0.4993213159968479,20241221-143850,max
SDv1.4,True,10.0,20,2,43,0.0,0.4426396948205458,0.4993213159968479,20241224-135739,max
SDv1.4,True,10.0,20,2,43,0.0,0.4426396948205458,0.4993213159968479,20241219-070730,max
SDv1.5,True,10.0,20,2,43,0.0,0.43457455763306824,0.5121572999498532,20241226-134549,max
SDv1.5,True,10.0,20,2,43,0.0,0.43457455763306824,0.5121572999498532,20241219-012748,max
