model_name,use_smc,lmbda,resample_freq,num_particles,potential_type,seed,div_score,ave_score,bon_score,job
SDXL-base,True,10.0,20,8,max,43,0.0,0.8894215593434345,0.9010732323232324,20241222-045421
SDXL-base,True,10.0,20,16,max,42,0.0,0.6709673250680565,0.6916286087828641,20241219-013359
SDv1.4,True,10.0,20,16,max,44,0.0,0.6644523556118127,0.6661094676426341,20241222-071423
SDXL-base,True,10.0,20,8,max,43,0.0,0.659940909538649,0.6726658428254172,20241219-162526
SDXL-base-DPO,True,10.0,20,4,max,42,0.0,0.6563784117773479,0.675591374740311,20241205-144854
SDXL-base,True,10.0,20,4,max,44,0.0,0.6557629486352891,0.660540869689806,20241222-032651
SDXL-base,True,10.0,20,4,max,44,0.0,0.6557629486352891,0.660540869689806,20241219-155235
SDXL-base,True,10.0,20,12,diff,42,0.0,0.6542230594956658,0.6646818360914105,20241203-234551
SDXL-base,True,10.0,20,8,max,42,0.0,0.6484516709649689,0.659838724120639,20241221-123335
SDXL-base,True,10.0,20,8,max,42,0.0,0.6484516709649689,0.659838724120639,20241219-013156
SDXL-base,True,10.0,20,8,max,42,0.0,0.6484516709649689,0.659838724120639,20241211-072920
SDv2.1,True,10.0,20,16,diff,42,0.0,0.6436361285729637,0.641443423597679,20241208-153344
SDv2.1,True,10.0,20,16,diff,42,0.0,0.6436361285729637,0.641443423597679,20241208-153344
SDv2.1,True,10.0,20,8,max,44,0.0,0.6425035819184756,0.6564469159681926,20241221-191103
SDv2.1,True,10.0,20,16,max,44,0.0,0.6420493834622824,0.672288219070134,20241219-190956
SDv2.1,True,10.0,20,16,max,43,0.0,0.6414221447632352,0.6612563579052941,20241221-191102
SDv2.1,True,10.0,20,16,max,42,0.0,0.6412072632351887,0.643250143276739,20241221-062520
SDv2.1,True,10.0,20,16,max,42,0.0,0.6412072632351887,0.643250143276739,20241218-212646
SDXL-base,True,10.0,20,8,diff,42,0.0,0.6409099863887099,0.6516286087828641,20241210-161901
SDXL-base,True,10.0,20,8,diff,42,0.0,0.6409099863887099,0.6516286087828641,20241210-161918
SDXL-base,True,10.0,20,8,diff,42,0.0,0.6409099863887099,0.6516286087828641,20241210-161901
SDXL-base-DPO,True,10.0,20,4,diff,42,0.0,0.6399562110466367,0.635851153377749,20241205-230827
SDXL-base,True,10.0,20,4,max,42,0.0,0.6332126674546887,0.6489300809513575,20241219-010020
SDXL-base,True,10.0,20,4,max,42,0.0,0.6332126674546887,0.6489300809513575,20241205-113524
SDXL-base,True,10.0,20,4,max,42,0.0,0.6332126674546887,0.6489300809513575,20241221-104355
SDXL-base,True,10.0,20,4,max,42,0.0,0.6332126674546887,0.6489300809513575,20241208-140817
SDXL-base,True,10.0,20,3,diff,42,0.0,0.6263816056546552,0.6230408696898059,20241205-113126
SDXL-base,True,10.0,20,3,diff,42,0.0,0.6263816056546552,0.6230408696898059,20241205-113133
SDv2.1,True,10.0,20,8,max,43,0.0,0.6236174242424243,0.6376038756357906,20241221-124236
SDXL-base,True,10.0,20,3,max,42,0.0,0.6184989373641855,0.6168378823697973,20241208-140819
SDXL-base,True,10.0,20,3,max,42,0.0,0.6184989373641855,0.6168378823697973,20241205-113526
SDXL-base,True,10.0,20,4,max,43,0.0,0.6174158920767963,0.6232190701339638,20241221-185009
SDXL-base,True,10.0,20,4,max,43,0.0,0.6174158920767963,0.6232190701339638,20241219-082720
SDXL-base,True,10.0,20,3,diff,42,0.0,0.6162699393461805,0.622727093631349,20241204-202159
SDv2.1,True,10.0,20,4,max,42,0.0,0.6161234015688803,0.628917723332617,20241208-140804
SDv2.1,True,10.0,20,4,max,42,0.0,0.6161234015688803,0.628917723332617,20241221-052057
SDv2.1,True,10.0,20,4,max,42,0.0,0.6161234015688803,0.628917723332617,20241209-041638
SDv2.1,True,10.0,20,4,max,42,0.0,0.6161234015688803,0.628917723332617,20241205-113451
SDv1.5,True,10.0,20,16,diff,42,0.0,0.6065353165968193,0.6134203739522889,20241203-233916
SDv1.5,True,10.0,20,16,max,43,0.0,0.5991889585124293,0.6169576079948421,20241221-151955
SDv1.5,True,10.0,20,16,max,42,0.0,0.5979018017049932,0.6050755784798338,20241208-153407
SDv1.5,True,10.0,20,16,max,42,0.0,0.5979018017049932,0.6050755784798338,20241208-221601
SDv1.5,True,10.0,20,16,max,42,0.0,0.5979018017049932,0.6050755784798338,20241221-082448
SDv1.5,True,10.0,20,16,max,42,0.0,0.5979018017049932,0.6050755784798338,20241219-003839
SDv1.4,True,10.0,20,16,max,44,0.0,0.597423531637295,0.6054833798982736,20241219-124442
SDv1.5,True,10.0,20,16,diff,42,0.0,0.5962189884214485,0.6038592485135038,20241208-153352
SDv1.4,True,10.0,20,16,max,43,0.0,0.5907440540153306,0.5972900995773337,20241221-234344
SDv1.4,True,10.0,20,16,max,43,0.0,0.5907440540153306,0.5972900995773337,20241219-075528
SDv2.1,True,10.0,20,3,max,42,0.0,0.5900259987582682,0.5987502686438857,20241205-113450
SDv2.1,True,10.0,20,3,max,42,0.0,0.5900259987582682,0.5987502686438857,20241205-113450
SDv2.1,True,10.0,20,3,diff,42,0.0,0.587660141605177,0.582074736728992,20241204-202116
SDv2.1,True,10.0,20,3,diff,42,0.0,0.5871903132984694,0.5848097105809872,20241205-113108
SDv2.1,True,10.0,20,4,max,44,0.0,0.5841662637008381,0.5870020237839387,20241221-120413
SDv1.5,True,10.0,20,8,max,43,0.0,0.5841577230639731,0.5967085751128304,20241221-114948
SDv1.5,True,10.0,20,8,max,43,0.0,0.5841577230639731,0.5967085751128304,20241219-021129
SDv1.5,True,10.0,20,16,max,44,0.0,0.581281750349237,0.6114487964753922,20241219-102241
SDv1.5,True,10.0,20,16,max,44,0.0,0.581281750349237,0.6114487964753922,20241221-222055
SDv1.4,True,10.0,20,16,max,42,0.0,0.5789174546887313,0.5998459775055519,20241221-164711
SDv1.4,True,10.0,20,8,max,44,0.0,0.5713826093380615,0.5752848520667669,20241219-072229
SDv1.4,True,10.0,20,8,max,44,0.0,0.5713826093380615,0.5752848520667669,20241221-223355
SDv1.4,True,10.0,20,8,max,42,0.0,0.5690932597249087,0.5886686904506053,20241219-021926
SDv1.4,True,10.0,20,8,max,42,0.0,0.5690932597249087,0.5886686904506053,20241221-153116
SDXL-base,True,10.0,20,2,max,43,0.0,0.5678720717816462,0.6163910380399743,20241221-142832
SDv1.4,True,10.0,20,8,max,43,0.0,0.5644241170570957,0.5800250734293287,20241221-190412
SDv1.4,True,10.0,20,8,max,43,0.0,0.5644241170570957,0.5800250734293287,20241219-045204
SDXL-base,True,10.0,20,2,max,42,0.0,0.5638800684146429,0.6168715524034674,20241219-014610
SDXL-base,True,10.0,20,2,max,42,0.0,0.5638800684146429,0.6168715524034674,20241221-100703
SDXL-base,True,10.0,20,2,max,44,0.0,0.5623180385414428,0.5944017300666237,20241219-093224
SDXL-base,True,10.0,20,2,max,44,0.0,0.5623180385414428,0.5944017300666237,20241221-185252
SDv1.5-DPO,True,10.0,20,4,max,42,0.0,0.5615304194426535,0.5751225911598251,20241205-123253
SDv1.5,True,10.0,20,8,max,42,0.0,0.5611642578264919,0.5646332115481051,20241218-232532
SDv1.5,True,10.0,20,8,max,42,0.0,0.5611642578264919,0.5646332115481051,20241221-081607
SDv1.5,True,10.0,20,8,max,44,0.0,0.5609489621391216,0.5603575650118203,20241221-152438
SDv1.5,True,10.0,20,8,max,44,0.0,0.5609489621391216,0.5603575650118203,20241219-044307
SDv1.5-DPO,True,10.0,20,4,diff,42,0.0,0.5451523882441435,0.5628966079232037,20241205-142626
SDv1.5,True,10.0,20,4,max,43,0.0,0.543334743713733,0.5462884160756502,20241221-084601
SDv1.5,True,10.0,20,4,max,43,0.0,0.543334743713733,0.5462884160756502,20241218-224955
SDv1.4,True,10.0,20,4,max,42,0.0,0.5404732609785802,0.5492219177591519,20241221-144040
SDv1.4,True,10.0,20,4,max,42,0.0,0.5404732609785802,0.5492219177591519,20241219-021201
SDv1.5,True,10.0,20,4,max,42,0.0,0.5400559003152089,0.5463725911598253,20241218-212817
SDv1.5,True,10.0,20,4,max,42,0.0,0.5400559003152089,0.5463725911598253,20241208-140800
SDv1.4,True,10.0,20,4,max,44,0.0,0.5387259339852425,0.5592050827423168,20241221-185551
SDv1.5,True,10.0,20,4,max,44,0.0,0.537811694068343,0.5353150297299233,20241221-103804
SDv1.4,True,10.0,20,4,max,43,0.0,0.5352341903073286,0.5412432839028584,20241221-165933
