model_name,use_smc,lmbda,resample_freq,t_start,t_end,num_particles,div_score,IR_avg,IR_max,ave_score,bon_score,job,results_filename,potential_type
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,20,20,80,8,0.1377977348365576,0.1568537602785496,1.388145002437112,0.6484516709649689,0.659838724120639,20241119-224650,results_11.jsonl,max
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,20,20,80,8,0.1193681098386025,0.1532356003596183,1.3579611140227528,0.6409099863887099,0.6516286087828641,20241120-123154,results_15.jsonl,diff
stabilityai/stable-diffusion-2-1,True,10.0,20,20,80,8,0.1270046700061607,0.1445676680017687,1.2976443486685645,0.6351657644709506,0.644212067483344,20241119-210944,results_22.jsonl,max
stabilityai/stable-diffusion-xl-base-1.0,True,2.0,5,5,30,8,0.1597738627943919,0.1416917669624309,1.358397659395462,0.6341603983093345,0.6605630775843542,20241121-074330,results_34.jsonl,add
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,20,20,80,4,0.1230778952615898,0.2919694511464057,1.273174100190024,0.6332126674546887,0.6489300809513575,20241119-212737,results_57.jsonl,max
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,5,5,30,8,0.1303529291637713,0.1424380397539043,1.3090519522523902,0.6260632701124721,0.6546011533777492,20241119-202507,results_8.jsonl,max
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,5,5,30,8,0.1171810083785119,0.1374635152374756,1.2816257599411132,0.6207002762554624,0.6420338133104091,20241120-021120,results_70.jsonl,diff
stabilityai/stable-diffusion-xl-base-1.0,True,2.0,5,5,30,8,0.2167386942042903,0.1299247197561794,1.35286779303182,0.619593653735941,0.6722243713733075,20241120-120153,results_10.jsonl,max
stabilityai/stable-diffusion-2-1,True,10.0,20,20,80,4,0.1169880756015332,0.2498204083111184,1.1265056366075643,0.6161234015688803,0.628917723332617,20241119-202220,results_2.jsonl,max
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,5,5,30,4,0.1278059039177342,0.2640224564298448,1.2168318928422737,0.6143332706497601,0.627760763665019,20241119-202255,results_24.jsonl,max
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,5,5,30,4,0.1266111542519593,0.2584938285333419,1.1810751127223964,0.6137592234400745,0.6155878823697973,20241120-150402,results_7.jsonl,add
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,5,5,30,8,0.1289869480906138,0.1359811784766082,1.281164955396616,0.6134099416147288,0.6239939286481839,20241120-154725,results_28.jsonl,add
stabilityai/stable-diffusion-xl-base-1.0,True,2.0,20,20,80,8,0.2150925711558535,0.1241630607184189,1.345757904312208,0.6116416156243284,0.6587678200444157,20241121-031842,results_30.jsonl,diff
stabilityai/stable-diffusion-xl-base-1.0,True,2.0,5,5,30,8,0.188897149842805,0.1246149496364392,1.334318446155758,0.6106546291818898,0.6625514900780859,20241120-174930,results_60.jsonl,diff
stabilityai/stable-diffusion-xl-base-1.0,True,2.0,5,5,30,4,0.2153334981217899,0.2379177913034358,1.2464729752404209,0.6084156950712801,0.6549282720825275,20241120-041948,results_29.jsonl,max
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,5,5,30,4,0.1182062653976258,0.2565815281645002,1.16684295762849,0.6055748307543521,0.6209407013396375,20241120-015354,results_46.jsonl,diff
stabilityai/stable-diffusion-xl-base-1.0,True,2.0,20,20,80,8,0.2447914369404316,0.1218777181764653,1.3771941315106522,0.6035478902500179,0.6735160111755857,20241120-132252,results_4.jsonl,max
